category,sub_category,product_id,title,sku_id,sale_price,origin_price,discount,score,review_count,sold_count,seller_id,shop_name,updated_at,canonical_url,updated_at_dt,update_year_month,update_weekday
mobile-phone-accessories,phone-holders-mounts,1730875818363095375,"Giá đỡ điện thoại để bàn gấp gọn Phụ Kiện Phone, có thể điều chỉnh góc độ từ 0-72 độ",1730875915520608591,15840,16800.0,6.0,4.2,6,56,7495436733378234703,Gia Dụng Đông SG,1754577828091,https://www.tiktok.com/shop/vn/pdp/gia-%C4%91o-%C4%91ien-thoai-gap-gon-%C4%91ieu-chinh-%C4%91o-song-tu-0-72/1730875818363095375,2025-08-07 14:43:48.091,2025-08,Thursday
mobile-phone-accessories,phone-holders-mounts,1731902377818359597,"UGREEN Tay Cầm Giá Đỡ Nhẫn Nam Châm Magnetic, Gập Gọn Tiện Lợi, Giá Đỡ Điện Thoại Vô Hình, Tương Thích iPhone 17 16 15 Pro Max & Samsung S24 Ultra, Mã: 65228",1731902412253857581,177000,199000.0,11.0,4.9,18,164,7495889090776632109,UGREEN Vietnam Shop,1755098609791,https://www.tiktok.com/shop/vn/pdp/tay-cam-gia-%C4%91o-nhan-nam-cham-magsafe-ugreen-tuong-thich-iphone-15-pro-max-samsung-s24-ultra-mau/1731902377818359597,2025-08-13 15:23:29.791,2025-08,Wednesday
mobile-phone-accessories,phone-holders-mounts,1731539368304871484,"XT02 Giá Đỡ Điện Thoại, Điều Khiển Bluetooth Không Dây, Dài 68cm, Có Thể Dùng Làm Giá Đỡ Điện Thoại",1731539368304937020,29500,59000.0,50.0,5.0,1,14,7495695696864512060,Vietnam Digital,1754843109985,https://www.tiktok.com/shop/vn/pdp/gia-%C4%91o-%C4%91ien-thoai-xt02-%C4%91ieu-khien-bluetooth-dai-68cm-abs-%C4%91en/1731539368304871484,2025-08-10 16:25:09.985,2025-08,Sunday
mobile-phone-accessories,phone-holders-mounts,1730933320367835610,"Giá Kẹp Đỡ Điện Thoại/ MTB Kim Loại Có Khớp Chỉnh, Kẹp Bàn, Đầu Giường, Dùng Cho Livestream, Xem Phim Chống Mỏi Tay",1730933390214662618,169000,209000.0,19.0,4.3,50,877,7495167370511419866,TINAN Office,1754578558083,https://www.tiktok.com/shop/vn/pdp/gia-%C4%91o-%C4%91ien-thoai-may-tinh-bang-thiet-ke-linh-hoat/1730933320367835610,2025-08-07 14:55:58.083,2025-08,Thursday
mobile-phone-accessories,phone-holders-mounts,1730074519394945073,"Giá Đỡ Điện Thoại, Ipad Hình Tai Thỏ Màu Sắc Pastel Phụ Kiện Phone",1730074519395076145,18500,30000.0,38.0,4.6,90,912,7495158204168833073,Masknoidiatrung.1997,1754837627680,https://www.tiktok.com/shop/vn/pdp/gia-%C4%91o-%C4%91ien-thoai-hinh-tai-tho-pastel-chong-truot-tien-loi/1730074519394945073,2025-08-10 14:53:47.680,2025-08,Sunday
mobile-phone-accessories,phone-holders-mounts,1730785903271053460,"Giá Đỡ Điện Thoại - Xoay 360 Độ, Bản Lề Cứng Cáp Chắc Chắn, Đế Kê Điện Thoại Xem Livestream, Xem Phim",1730786458282723476,48000,59000.0,19.0,0.0,0,2251,7494934450043848852,FUSION-X STORE,1754839121296,https://www.tiktok.com/shop/vn/pdp/gia-%C4%91o-%C4%91ien-thoai-xoay-360-%C4%91o-chat-lieu-nhom-nhua-%C4%91e-ke-chac-chan/1730785903271053460,2025-08-10 15:18:41.296,2025-08,Sunday
mobile-phone-accessories,phone-holders-mounts,1732711436972951225,"Giá Chân Đế Điện Thoại Siêu Mỏng, Kích Thước Nhỏ, Thiết Kế Sáng Tạo, Có Thể Gập Lại Và Cầm Tay Giá Đỡ Đa Năng",1732711436973016761,59000,118000.0,50.0,0.0,0,11,8651546901341111993,BODABAIHUO,1759503159401,https://www.tiktok.com/shop/vn/pdp/gia-%C4%91o-%C4%91ien-thoai-sieu-mong-thiet-ke-sang-tao-gap-gon/1732711436972951225,2025-10-03 14:52:39.401,2025-10,Friday
mobile-phone-accessories,phone-holders-mounts,1731962806403892598,Giá Đỡ điện thȯại Gỗ Thú Lớn,1731962905010144630,10000,10000.0,0.0,4.3,16,142,7494570109035841910,tinphongshop,0,https://www.tiktok.com/shop/vn/pdp/1731962806403892598,1970-01-01 00:00:00.000,1970-01,Thursday
mobile-phone-accessories,phone-holders-mounts,1732091799967663855,"Giá đỡ điện thoại máy tính bảng  Kệ để ipad, taplet để bàn Acrylic chân xoay 360 độ gấp gọn tiện lợi S119",1732091823258568431,8000,8000.0,0.0,4.8,6,60,7496304347120700143,Chợsiphụkiệnthanhlý,1755008717161,https://www.tiktok.com/shop/vn/pdp/gia-%C4%91o-ipad-nhua-s119-xoay-360-%C4%91o-gap-gon-chat-lieu-acrylic/1732091799967663855,2025-08-12 14:25:17.161,2025-08,Tuesday
mobile-phone-accessories,phone-holders-mounts,1732034022268898212,"Giá Đỡ Điện Thoại Và Máy Tính Bảng Bằng Nhựa Gấp Gọn Thông Dụng Cầm Tay Mini, Thiết Kế Sáng Tạo",1732034022268963748,9353,18707.0,50.0,0.0,0,30,8648219621374986148,The Language of May,1754750733504,https://www.tiktok.com/shop/vn/pdp/gia-%C4%91o-%C4%91ien-thoai-mini-gap-gon-tien-dung-thiet-ke-sang-tao/1732034022268898212,2025-08-09 14:45:33.504,2025-08,Saturday
