url,product_name,sold,review_count,rating,price,currency,seller_name,categories,sku,brand
https://www.lazada.vn/products/c6-max-6449-ezviz.html,C6 Max 6449 Ezviz,273,164,3.1,9079834,VND,Ezviz Official Store,Security Cameras & Systems,DPLPQ60KVQX2D,Ezviz
https://www.lazada.vn/products/sony-mini-pro-303-gen-2.html,Sony Mini Pro 303 Gen 2,8091,3821,3.5,34704746,VND,Sony Flagship Store,Cameras & Drones,XKD4YX21DOUZ7,Sony
https://www.lazada.vn/products/tapo-elite-6110-ezviz.html,Tapo Elite 6110 Ezviz,2685,1363,4.9,6376241,VND,Ezviz Flagship Store,Security Cameras & Systems,2TEEAWVEZ582C,Ezviz
https://www.lazada.vn/products/garmin-venu-8511-lte.html,Garmin Venu 8511 LTE,7211,5232,4.0,8773627,VND,SmartWearVNWear,Smartwatches,CWHZ4QWQ92MISB,Garmin
https://www.lazada.vn/products/huawei-forerunner-z-3129-2025.html,Huawei Forerunner Z 3129 2025,8971,7643,4.5,8312135,VND,GameWorldVNWear,Smartwatches,MG7Q9728EC3,Huawei
https://www.lazada.vn/products/ace-elite-3312-dji-series-9.html,Ace Elite 3312 DJI Series 9,6484,4449,3.8,24117052,VND,DJI Official Store,Video & Action Camcorder,4YYL60TMM0C,DJI
https://www.lazada.vn/products/thinkpad-elite-9123-asus-2025.html,ThinkPad Elite 9123 Asus 2025,9468,2045,4.7,31202568,VND,ScreenWorks,Laptops,QTWHV15XJG7EIW,Asus
https://www.lazada.vn/products/vivo-edge-2352-pro.html,Vivo Edge 2352 Pro+,9226,413,3.5,56100007,VND,TechZoneVNMobile,Mobiles,K4G850Z8YWN5V1,Vivo
https://www.lazada.vn/products/dji-hero-mini-9280-lte.html,DJI Hero Mini 9280 LTE,768,76,3.4,11832119,VND,DJI Flagship Store,Video & Action Camcorder,ZEWISCWBS3GSDW,DJI
https://www.lazada.vn/products/brother-ecotank-1255-ultra.html,Brother EcoTank 1255 Ultra+,2536,1114,4.6,14257020,VND,Brother VN,Printers,D7V8BF75EJ0MUM,Brother
https://www.lazada.vn/products/vivo-galaxy-core-8295-lte.html,Vivo Galaxy Core 8295 LTE,4073,1204,3.3,56788387,VND,Vivo Official Store,Mobiles,QKJOEFTPM0,Vivo
https://www.lazada.vn/products/hp-ecotank-neo-1628-series-9.html,HP EcoTank Neo 1628 Series 9,8421,323,4.9,13516438,VND,HP VN,Printers,35T8YXUEU9,HP
https://www.lazada.vn/products/oppo-tab-1122-series-9.html,OPPO Tab 1122 Series 9,7905,3757,3.9,2783070,VND,OPPO Flagship Store,Tablets,4OD4YQ2G51O,OPPO
https://www.lazada.vn/products/note-prime-5720-xiaomi-2025.html,Note Prime 5720 Xiaomi 2025,9822,9806,3.0,11816449,VND,Xiaomi VN,Mobiles,OGKEWZ6YF9,Xiaomi
https://www.lazada.vn/products/asus-blade-mini-1465-gen-2.html,Asus Blade Mini 1465 Gen 2,2859,2782,3.1,61038502,VND,PrintHouse,Laptops,JW6AAHHTPEDPE,Asus
https://www.lazada.vn/products/oneplus-find-679-ultra.html,OnePlus Find 679 Ultra+,7533,3961,3.5,58969270,VND,ScreenWorksMobile,Mobiles,UG0MQAKG4M8XHS,OnePlus
https://www.lazada.vn/products/hp-smart-tank-pro-8052-ultra.html,HP Smart Tank Pro 8052 Ultra+,2735,2659,4.0,17905478,VND,HiFi CornerPrint,Printers,1V0ZJZ8NZFKY6,HP
https://www.lazada.vn/products/microsoft-steam-deck-6364-gen-2.html,Microsoft Steam Deck 6364 Gen 2,8513,8002,4.7,17789756,VND,Microsoft Mall,Console Gaming,LYY2DSNJBZLS07,Microsoft
https://www.lazada.vn/products/dahua-tapo-9077-series-9.html,Dahua Tapo 9077 Series 9,2293,586,3.3,7365982,VND,Dahua Mall,Security Cameras & Systems,VQPKSV0CZL,Dahua
